,HM,Nearest TSS,,,,,Exon,,,,,5kb,,,,
,,Gm12878,H1hesc,Helas3,Hepg2,K562,Gm12878,H1hesc,Helas3,Hepg2,K562,Gm12878,H1hesc,Helas3,Hepg2,K562
Enriched,H2az, 476 , 767 , 360 , 74 , 298 , 231 ," 1,169 ", 274 , 139 , 70 , 663 , 721 , 143 , 107 , 429 
,H3k27ac, 985 , 488 , 756 , 661 , 531 , 812 , 419 , 585 , 638 , 550 ," 1,165 ", 525 ," 1,001 ", 920 , 877 
,H3k27me3, 959 , 906 , 339 , 986 , 664 ," 1,531 "," 1,308 ", 591 ," 1,357 "," 1,107 "," 1,424 "," 1,358 ", 566 ," 1,265 ", 968 
,H3k36me3, 822 , 587 , 761 , 761 , 834 ," 1,027 ", 889 , 997 ," 1,026 ", 976 , 922 , 668 , 921 , 916 , 944 
,H3k4me1, 999 , 850 , 698 , 841 , 627 , 608 , 997 , 308 , 458 , 259 , 899 ," 1,274 ", 684 , 785 , 643 
,H3k4me2," 1,015 "," 1,058 ", 580 ," 1,012 ", 683 , 697 ," 1,078 ", 539 , 717 , 414 ," 1,147 "," 1,676 ", 976 ," 1,101 ", 980 
,H3k4me3, 923 , 659 , 389 , 845 , 600 , 720 , 990 , 505 , 759 , 492 ," 1,173 "," 1,615 ", 957 ," 1,087 ", 968 
,H3k79me2," 1,014 ", 818 , 860 , 811 , 875 , 965 , 804 , 831 , 764 , 825 ," 1,249 ", 962 ," 1,070 "," 1,006 "," 1,113 "
,H3k9ac, 926 , 529 , 561 , 564 , 588 , 756 , 452 , 467 , 485 , 521 ," 1,140 ", 809 , 851 , 920 , 947 
,H3k9me3, 253 , 44 , 73 , 29 , 8 , 396 , 37 , 76 , 32 , 14 , 369 , 45 , 73 , 27 , 6 
,H4k20me1, 528 , 781 , 251 , 394 , 527 , 352 , 971 , 308 , 498 , 369 , 607 ," 1,153 ", 353 , 626 , 440 
Depleted,H2az, 25 , 128 , 10 , 1 , 8 , 26 , 271 , 29 , 1 , 6 , 230 , 120 , 4 , 11 , 248 
,H3k27ac, 224 , 69 , 112 , 188 , 102 , 309 , 119 , 183 , 278 , 234 , 627 , 104 , 505 , 469 , 597 
,H3k27me3, 320 , 121 , 258 , 172 , 205 , 471 , 230 , 314 , 314 , 379 , 481 , 303 , 301 , 206 , 311 
,H3k36me3, 714 , 510 , 748 , 839 , 769 ," 1,412 "," 1,148 "," 1,238 "," 1,418 "," 1,392 "," 1,154 ", 706 ," 1,014 "," 1,187 "," 1,148 "
,H3k4me1, 138 , 47 , 57 , 88 , 74 , 123 , 81 , 47 , 56 , 54 , 239 , 109 , 218 , 226 , 249 
,H3k4me2, 243 , 221 , 145 , 121 , 162 , 173 , 146 , 183 , 110 , 136 , 545 , 534 , 596 , 504 , 707 
,H3k4me3, 268 , 187 , 63 , 149 , 150 , 211 , 171 , 145 , 111 , 169 , 610 , 546 , 476 , 547 , 710 
,H3k79me2, 497 , 565 , 446 , 453 , 501 , 597 , 492 , 536 , 502 , 655 , 929 , 713 , 681 , 755 ," 1,022 "
,H3k9ac, 182 , 25 , 76 , 116 , 154 , 209 , 40 , 120 , 146 , 225 , 565 , 68 , 374 , 515 , 747 
,H3k9me3, 79 , 67 , 11 , 176 , -   , 124 , 67 , 30 , 97 , 2 , 44 , 36 , 11 , 47 , 2 
,H4k20me1, 45 , 390 , 35 , 66 , 73 , 34 , 631 , 71 , 84 , 80 , 64 , 559 , 68 , 86 , 72 